"FilingID","Reference ID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
2002413,7824,"GRAY, JONATHAN, DAVID","",2289544,03/01/2018,,"345 PARK AVENUE","","NEW YORK","NY","United States","10154","N","JONATHAN D. GRAY INDIRECTLY CONTROLS (AS DEFINED IN FORM ADV) THE REGISTRANT IN HIS ROLE AS PRESIDENT AND CHIEF OPERATING OFFICER OF BLACKSTONE INC., THE REGISTRANT'S INDIRECT PARENT."
2002413,7824,"SCHWARZMAN, STEPHEN, ALLEN","",861435,07/27/2005,,"345 PARK AVENUE","","NEW YORK","NY","United States","10154","N","STEPHEN A. SCHWARZMAN INDIRECTLY CONTROLS THE REGISTRANT IN HIS ROLE AS CHAIRMAN AND CHIEF EXECUTIVE OFFICER OF BLACKSTONE INC., THE REGISTRANT'S INDIRECT PARENT."
2002455,2810,"","STONE POINT CAPITAL LLC",156521,07/17/2024,,"20 HORSENECK LANE","","GREENWICH","CT","United States","06830","N","PURSUANT TO CERTAIN MANAGEMENT AGREEMENTS, STONE POINT CAPITAL, LLC HAS RECEIVED DELEGATED AUTHORITY TO ACT AS THE INVESTMENT MANAGER OF TRIDENT V, LP AND TRIDENT V PARALLEL FUND, LP, WHICH INDIRECTLY THROUGH INTERMEDIATE SUBSIDIARIES, OWN 97.5% OF NEW TRIDENT TREE LINE GP BLOCKER, INC. WHICH, IN TURN, OWNS 35% OF TREE LINE DIRECT LENDING GP, LLC."
2002455,5975,"","STONE POINT CAPITAL LLC",156521,07/17/2014,,"20 HORSENECK LANE","","GREENWICH","CT","United States","06830","N","PURSUANT TO CERTAIN MANAGEMENT AGREEMENTS, STONE POINT CAPITAL, LLC HAS RECEIVED DELEGATED AUTHORITY TO ACT AS THE INVESTMENT MANAGER OF TRIDENT V, LP AND TRIDENT V PARALLEL FUND, LP, WHICH INDIRECTLY THROUGH INTERMEDIATE SUBSIDIARIES, OWN 97.5% OF NEW TRIDENT TREE LINE GP BLOCKER, INC. WHICH, IN TURN, OWNS 20% OF TREE LINE DIRECT LENDING GP II, LLC."
2002455,6239,"","STONE POINT CAPITAL LLC",156521,07/17/2024,,"20 HORSENECK LANE","","GREENWICH","CT","United States","06830","N","PURSUANT TO CERTAIN MANAGEMENT AGREEMENTS, STONE POINT CAPITAL, LLC HAS RECEIVED DELEGATED AUTHORITY TO ACT AS THE INVESTMENT MANAGER OF TRIDENT V, LP AND TRIDENT V PARALLEL FUND, LP, WHICH INDIRECTLY THROUGH INTERMEDIATE SUBSIDIARIES, OWN 97.5% OF NEW TRIDENT TREE LINE GP BLOCKER, INC. WHICH, IN TURN, OWNS 35% OF TREE LINE DIRECT LENDING GP, LLC, WHICH IS THE SOLE MEMBER OF TLDL(SC) GP, LLC."
2002455,9579,"","STONE POINT CAPITAL LLC",156521,07/17/2024,,"20 HORSENECK LANE","","GREENWICH","CT","United States","06830","N","PURSUANT TO CERTAIN MANAGEMENT AGREEMENTS, STONE POINT CAPITAL, LLC HAS RECEIVED DELEGATED AUTHORITY TO ACT AS THE INVESTMENT MANAGER OF TRIDENT V, LP AND TRIDENT V PARALLEL FUND, LP, WHICH INDIRECTLY THROUGH INTERMEDIATE SUBSIDIARIES, OWN 97.5% OF NEW TRIDENT TREE LINE GP BLOCKER, INC. WHICH, IN TURN, OWNS 20% OF TREE LINE DIRECT LENDING GP III, LLC."
2002466,2810,"","STONE POINT CAPITAL LLC",156521,07/17/2024,,"20 HORSENECK LANE","","GREENWICH","CT","United States","06830","N","PURSUANT TO CERTAIN MANAGEMENT AGREEMENTS, STONE POINT CAPITAL, LLC HAS RECEIVED DELEGATED AUTHORITY TO ACT AS THE INVESTMENT MANAGER OF TRIDENT V, LP AND TRIDENT V PARALLEL FUND, LP, WHICH INDIRECTLY THROUGH INTERMEDIATE SUBSIDIARIES, OWN 97.5% OF NEW TRIDENT TREE LINE GP BLOCKER, INC. WHICH, IN TURN, OWNS 35% OF TREE LINE DIRECT LENDING GP, LLC."
2002466,5975,"","STONE POINT CAPITAL LLC",156521,07/17/2014,,"20 HORSENECK LANE","","GREENWICH","CT","United States","06830","N","PURSUANT TO CERTAIN MANAGEMENT AGREEMENTS, STONE POINT CAPITAL, LLC HAS RECEIVED DELEGATED AUTHORITY TO ACT AS THE INVESTMENT MANAGER OF TRIDENT V, LP AND TRIDENT V PARALLEL FUND, LP, WHICH INDIRECTLY THROUGH INTERMEDIATE SUBSIDIARIES, OWN 97.5% OF NEW TRIDENT TREE LINE GP BLOCKER, INC. WHICH, IN TURN, OWNS 20% OF TREE LINE DIRECT LENDING GP II, LLC."
2002466,6239,"","STONE POINT CAPITAL LLC",156521,07/17/2024,,"20 HORSENECK LANE","","GREENWICH","CT","United States","06830","N","PURSUANT TO CERTAIN MANAGEMENT AGREEMENTS, STONE POINT CAPITAL, LLC HAS RECEIVED DELEGATED AUTHORITY TO ACT AS THE INVESTMENT MANAGER OF TRIDENT V, LP AND TRIDENT V PARALLEL FUND, LP, WHICH INDIRECTLY THROUGH INTERMEDIATE SUBSIDIARIES, OWN 97.5% OF NEW TRIDENT TREE LINE GP BLOCKER, INC. WHICH, IN TURN, OWNS 35% OF TREE LINE DIRECT LENDING GP, LLC, WHICH IS THE SOLE MEMBER OF TLDL(SC) GP, LLC."
2002466,9579,"","STONE POINT CAPITAL LLC",156521,07/17/2024,,"20 HORSENECK LANE","","GREENWICH","CT","United States","06830","N","PURSUANT TO CERTAIN MANAGEMENT AGREEMENTS, STONE POINT CAPITAL, LLC HAS RECEIVED DELEGATED AUTHORITY TO ACT AS THE INVESTMENT MANAGER OF TRIDENT V, LP AND TRIDENT V PARALLEL FUND, LP, WHICH INDIRECTLY THROUGH INTERMEDIATE SUBSIDIARIES, OWN 97.5% OF NEW TRIDENT TREE LINE GP BLOCKER, INC. WHICH, IN TURN, OWNS 20% OF TREE LINE DIRECT LENDING GP III, LLC."
