"FilingID","Reference ID","Individual Name","Firm or Organization Name","CRD Number","Effective Date","Termination Date","Street 1","Street 2","City","State","Country","Postal Code","Private Residence?","Description"
2012727,11322,"REIGADAS, JOSEPH, ELIAS","",6279797,01/31/2024,,"1450 BRICKELL AVENUE","SUITE 2600","MIAMI","FL","United States","33131","N","THIS PERSON CONTROLS COMPLIANCE POLICIES OF THE ENTITY DUE TO HIS CCO ROLE OF LESTE CAPITAL PARTNERS (FLORIDA), LLC."
2008865,1949,"","CAPSTONE INVESTMENT ADVISORS, LLC",155563,07/27/2007,,"250 GREENWICH ST.","FLOOR 32","NEW YORK","NY","United States","10007","N","MANAGING MEMBER"
2008827,4108,"","CENTRICUS FINANCIAL INVESTMENTS GP LIMITED",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","GENERAL PARTNER OF CENTRICUS HOLDINGS I LP AND CENTRICUS FINANCIAL INVESTMENTS LP"
2008827,4108,"","CENTRICUS PARTNERS LP",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","BENEFICIAL OWNER OF CENTRICUS FINANCIAL INVESTMENTS GP LIMITED"
2008827,4111,"","CENTRICUS FINANCIAL INVESTMENTS GP LIMITED",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","GENERAL PARTNER OF CENTRICUS HOLDINGS I LP AND CENTRICUS FINANCIAL INVESTMENTS LP"
2008827,4111,"","CENTRICUS PARTNERS LP",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","BENEFICIAL OWNER OF CENTRICUS FINANCIAL INVESTMENTS GP LIMITED"
2008827,4114,"","CENTRICUS FINANCIAL INVESTMENTS GP LIMITED",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","GENERAL PARTNER OF CENTRICUS HOLDINGS I LP AND CENTRICUS FINANCIAL INVESTMENTS LP"
2008827,4114,"","CENTRICUS PARTNERS LP",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","BENEFICIAL OWNER OF CENTRICUS FINANCIAL INVESTMENTS GP LIMITED"
2008827,7279,"","CENTRICUS FINANCIAL INVESTMENTS GP LIMITED",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","GENERAL PARTNER OF CENTRICUS HOLDINGS I LP AND CENTRICUS FINANCIAL INVESTMENTS LP"
2008827,7279,"","CENTRICUS PARTNERS LP",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","BENEFICIAL OWNER OF CENTRICUS FINANCIAL INVESTMENTS GP LIMITED"
2008827,11238,"","CENTRICUS FINANCIAL INVESTMENTS GP LIMITED",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","GENERAL PARTNER OF CENTRICUS HOLDINGS I LP AND CENTRICUS FINANCIAL INVESTMENTS LP"
2008827,11238,"","CENTRICUS PARTNERS LP",,11/21/2016,,"IFC 5","","ST HELIER","","Jersey","JE11ST","N","BENEFICIAL OWNER OF CENTRICUS FINANCIAL INVESTMENTS GP LIMITED"
2008827,11238,"","TEXAS DEBT CAPITAL GP LLC",,04/06/2021,,"1 SE 3RD AVENUE","SUITE 1660","MIAMI","FL","United States","33131","N","GENERAL PARTNER OF THE SOLE MEMBER OF CIFC CLO MANAGEMENT III LLC"
2008827,11238,"","CIFC HOLDINGS II LLC",,07/11/2018,,"1 SE 3RD AVENUE","SUITE 1660","MIAMI","FL","United States","33131","N","MANAGING MEMBER OF GENERAL PARTNER, TEXAS DEBT CAPITAL GP LLC"
2008827,11238,"","CIFC MEMBER LLC",,10/15/2015,,"1 SE 3RD AVENUE","SUITE 1660","MIAMI","FL","United States","33131","N","SOLE MEMBER OF CIFC HOLDINGS II LLC"
2008827,11238,"","CIFC LLC",,07/24/2015,,"1 SE 3RD AVENUE","SUITE 1660","MIAMI","FL","United States","33131","N","SOLE MEMBER OF CIFC MEMBER LLC"
2008827,11238,"","CENTRICUS HOLDINGS I LP",,11/01/2016,,"IFC 5","","ST HELIER","","Jersey","JE11ST","N","SOLE MEMBER OF CIFC LLC"
2008827,11238,"","CENTRICUS FINANCIAL INVESTMENTS LP",,08/01/2016,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","LIMITED PARTNER OF CENTRICUS HOLDINGS I LP"
2008827,11238,"","SUPREME UNIVERSAL HOLDINGS LIMITED",,11/01/2016,,"IFC 5","","ST HELIER","","Jersey","JE11ST","N","LIMITED PARTNER OF CENTRICUS FINANCIAL INVESTMENTS LP"
2008827,11238,"AL-THANI, HAMAD BIN KHALIFA","",6733882,11/01/2012,,"IFC 5","","ST HELIER","","Jersey","JE1 1ST","N","SOLE MEMBER OF SUPREME UNIVERSAL HOLDINGS LIMITED"
2007856,8303,"","REEF MANAGER, LLC",,03/09/2021,,"10100 SANTA MONICA BLVD","SUITE 1000","LOS ANGELES","CA","United States","90067","N","REEF MANAGER, LLC IS THE ELECTED MANAGER OF PCCP, LLC AND IS DEEMED A CONTROL PERSON FOR PCCP, LLC AS INDICATED ON SCHEDULE A OF THIS FORM ADV PART 1. THEREFORE, REEF MANAGER, LLC INDIRECTLY CONTROLS PCCP SAFARI GP, LLC."
2007856,9884,"","REEF MANAGER, LLC",,06/30/2022,,"10100 SANTA MONICA BLVD","SUITE 1000","LOS ANGELES","CA","United States","90067","N","REEF MANAGER, LLC IS THE ELECTED MANAGER OF PCCP, LLC AND IS DEEMED A CONTROL PERSON FOR PCCP, LLC AS INDICATED ON SCHEDULE A OF THIS FORM ADV PART 1. THEREFORE, REEF MANAGER, LLC INDIRECTLY CONTROLS PCCP WFH GP, LLC."
2007856,9959,"","REEF MANAGER, LLC",,09/06/2022,,"10100 SANTA MONICA BLVD","SUITE 1000","LOS ANGELES","CA","United States","90067","N","REEF MANAGER, LLC IS THE ELECTED MANAGER OF PCCP, LLC AND IS DEEMED A CONTROL PERSON FOR PCCP, LLC AS INDICATED ON SCHEDULE A OF THIS FORM ADV PART 1. THEREFORE, REEF MANAGER, LLC INDIRECTLY CONTROLS PCCP SAFARI II GP, LLC."
2007856,10951,"","REEF MANAGER, LLC",,06/28/2023,,"10100 SANTA MONICA BLVD","SUITE 1000","LOS ANGELES","CA","United States","90067","N","REEF MANAGER, LLC IS THE ELECTED MANAGER OF PCCP, LLC AND IS DEEMED A CONTROL PERSON FOR PCCP, LLC AS INDICATED ON SCHEDULE A OF THIS FORM ADV PART 1. THEREFORE, REEF MANAGER, LLC INDIRECTLY CONTROLS PCCP EQUITY X MANAGER, LLC."
2008873,12309,"SCHORR, BRIAN, LEWIS","",5862023,02/07/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","CHIEF LEGAL OFFICER AND INVESTMENT COMMITTEE MEMBER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
2008873,12309,"WEEDMAN, LEONARD, WILLIAM","",7129429,02/07/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","CHIEF FINANCIAL OFFICER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
2008873,12309,"MARX, DANIEL, ROBERT","",5174363,05/09/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","GENERAL COUNSEL AND CHIEF COMPLIANCE OFFICER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
2008873,12309,"PELTZ, NELSON, (""NMN"")","",1934519,02/07/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","CHIEF EXECUTIVE OFFICER AND INVESTMENT COMMITTEE MEMBER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
2008873,12309,"MAY, PETER, WILLIAM","",1934520,02/07/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","PRESIDENT AND INVESTMENT COMMITTEE MEMBER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
2008873,12309,"FRANK, JOSHUA, DAVID","",7358354,02/07/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","INVESTMENT COMMITTEE MEMBER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
2008873,12309,"BALDWIN, BRIAN, MICHAEL","",4972969,02/07/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","INVESTMENT COMMITTEE MEMBER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
2008873,12309,"BUNCH, RYAN, WILSON","",8057387,02/07/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","INVESTMENT COMMITTEE MEMBER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
2008873,12309,"PELTZ, DARREN, JOSEPH","",8057555,02/07/2025,,"280 PARK AVE.","","NEW YORK","NY","United States","10017-1217","N","INVESTMENT COMMITTEE MEMBER OF TRIAN FUND MANAGEMENT, L.P., THE SOLE MEMBER AS OF 2/7/25"
